integrator,dt,error,in_fit
euler,0.0001,0.20736233322977743,True
euler,0.00016378937069540646,0.33678539793284495,True
euler,0.0002682695795279727,0.5425679434242766,True
euler,0.00043939705607607906,0.8591305045070151,True
euler,0.0007196856730011522,1.310052779030312,True
euler,0.0011787686347935879,1.839153870020433,True
euler,0.0019306977288832496,2.1457138108523686,False
euler,0.0031622776601683794,1.536471659026098,False
euler,0.005179474679231213,0.6198349912883704,False
euler,0.008483428982440725,2.4454512928158016,False
euler,0.013894954943731374,1.2602484829614264,False
euler,0.022758459260747887,2.4751053162021206,False
euler,0.0372759372031494,2.497790465275656,False
euler,0.0610540229658533,3.0295358609245167,False
euler,0.1,4.733823383455663,False
leapfrog,0.0001,2.0943867127325058e-07,True
leapfrog,0.00016378937069540646,5.618617871127647e-07,True
leapfrog,0.0002682695795279727,1.507309580326752e-06,True
leapfrog,0.00043939705607607906,4.043626421622647e-06,True
leapfrog,0.0007196856730011522,1.0847832574659034e-05,True
leapfrog,0.0011787686347935879,2.910183639401046e-05,True
leapfrog,0.0019306977288832496,7.806997933758676e-05,True
leapfrog,0.0031622776601683794,0.0002094351512111234,True
leapfrog,0.005179474679231213,0.0005618465400953717,True
leapfrog,0.008483428982440725,0.0015070982682861248,True
leapfrog,0.013894954943731374,0.004042716979705707,True
leapfrog,0.022758459260747887,0.01084406559258082,True
leapfrog,0.0372759372031494,0.029068510894962447,True
leapfrog,0.0610540229658533,0.0778161945518784,True
leapfrog,0.1,0.20760305053533007,True
rk4,0.0001,9.384313528220257e-13,False
rk4,0.00016378937069540646,6.024127004657279e-13,False
rk4,0.0002682695795279727,1.1361626629713282e-12,False
rk4,0.00043939705607607906,4.946077528270728e-13,False
rk4,0.0007196856730011522,4.106256890789791e-13,True
rk4,0.0011787686347935879,5.598121561840908e-12,True
rk4,0.0019306977288832496,4.2939731659104397e-11,True
rk4,0.0031622776601683794,3.247821704818706e-10,True
rk4,0.005179474679231213,2.5058925082206792e-09,True
rk4,0.008483428982440725,2.002729717730446e-08,True
rk4,0.013894954943731374,1.6759683958520822e-07,True
rk4,0.022758459260747887,1.4824289472562578e-06,True
rk4,0.0372759372031494,1.3929585857843006e-05,True
rk4,0.0610540229658533,0.00013874774048849769,True
rk4,0.1,0.001451002425196924,True
