dt,max_E_drift,in_fit,local_slope
0.0001,1.265654248072678e-13,False,-0.6693614300399808
0.00021544346900318845,7.571721027943564e-14,False,1.582696949087359
0.0004641588833612782,2.5512925105886087e-13,True,3.9689776706644038
0.001,5.367262190247854e-12,True,4.203197231112869
0.0021544346900318843,1.3515077945669413e-10,True,4.348185397356451
0.004641588833612782,3.803765080689912e-09,True,4.533081638743044
0.01,1.2337890176183914e-07,True,4.70913214096143
0.021544346900318846,4.580908464113518e-06,True,4.835036624211746
0.046415888336127795,0.0001873399881879844,True,5.053790700000462
0.1,0.009062069498076749,True,
