run,split,N,mass_ratio,Q_tag,Q_soft,Q_unsoft,amp_factor,old_metric,new_metric,old_fail,conv_residual,dt,h_over_tcrossE,h_over_tcrossU,max_n_sub,force_evals,min_sep,min_sep_over_eps,jump_share,n_snapshots
cluster_01229.h5,Q_interp,5,1,1.08484,1.08487,1.08484,0.457566,0.000481169,0.000220167,False,1.23112e-16,0.01,0.00999919,0.032306,692,1012251,0.00221969,1.10985,0.0258132,191
cluster_01230.h5,Q_extrap,5,1,1.6102,1.61039,1.6102,0.194804,0.00212131,0.000413238,False,2.62367e-16,0.01,0.00999073,0.116199,671,655035,0.000741984,0.370992,0.138795,121
cluster_01231.h5,Q_extrap,5,1,1.63485,1.63504,1.63485,0.182482,0.000938988,0.000171348,False,1.58187e-16,0.01,0.0099908,0.128165,729,1422468,0.00213078,1.06539,0.00135111,1916
cluster_01232.h5,Q_extrap,5,1,1.64811,1.64921,1.64811,0.175397,0.0012564,0.000220368,False,3.68997e-16,0.01,0.00994341,0.135364,809,3909102,0.00119388,0.596938,0.0640477,173
cluster_01233.h5,Q_extrap,5,1,1.66256,1.66316,1.66256,0.168421,0.00011601,1.95386e-05,False,1.73407e-16,0.01,0.00996782,0.144213,557,1187355,0.00485267,2.42634,0.297466,103
cluster_01234.h5,Q_extrap,5,1,1.69962,1.70022,1.69962,0.149889,0.00182027,0.000272838,False,1.98689e-16,0.01,0.00996454,0.171712,844,2793573,0.000855541,0.427771,0.00402791,3043
cluster_01235.h5,Q_extrap,5,1,1.71577,1.7162,1.71577,0.141901,0.00330317,0.000468721,False,3.46966e-16,0.01,0.0099735,0.186583,709,965661,0.00027141,0.135705,0.00920637,468
cluster_01236.h5,Q_extrap,5,1,1.73235,1.73305,1.73235,0.133473,0.013597,0.00181482,False,1.19483e-16,0.01,0.00995428,0.204137,720,1477800,0.000108443,0.0542215,0.00314648,2234
cluster_01237.h5,Q_extrap,5,1,1.75355,1.75427,1.75355,0.122865,0.00646058,0.000793777,False,4.09763e-16,0.01,0.00995021,0.231042,1168,5613855,0.000591719,0.29586,0.0005713,16257
cluster_01238.h5,Q_extrap,5,1,1.77831,1.77914,1.77831,0.110432,0.00392624,0.000433583,False,1.25028e-16,0.01,0.00993716,0.270781,943,1387107,0.000192754,0.096377,0.00770085,744
cluster_01239.h5,Q_extrap,5,1,1.78209,1.78287,1.78209,0.108564,0.00209017,0.000226918,False,3.58346e-16,0.01,0.00993997,0.277878,726,3164094,0.00085543,0.427715,0.07841,173
cluster_01240.h5,ratio_interp,5,5,1.3,1.30008,1.3,0.34996,5.652e-06,1.97797e-06,False,2.14116e-16,0.01,0.00999735,0.04829,909,1523883,0.022661,11.3305,0.118939,100
cluster_01241.h5,ratio_interp,5,5,1.3,1.30006,1.3,0.349968,0.000553247,0.000193619,False,0,0.01,0.00999786,0.0482909,997,951141,0.0019609,0.980451,0.0352898,194
cluster_01242.h5,ratio_interp,5,5,1.3,1.30009,1.3,0.349954,2.0699e-05,7.24372e-06,False,0,0.01,0.00999699,0.0482894,555,1329414,0.00821148,4.10574,0.0884449,100
cluster_01243.h5,ratio_interp,5,5,1.3,1.30009,1.3,0.349953,0.000751467,0.000262978,False,0,0.01,0.00999688,0.0482893,1017,2196030,0.00161096,0.805478,0.0436285,189
cluster_01244.h5,ratio_interp,5,5,1.3,1.30014,1.3,0.349929,0.000122174,4.27522e-05,False,0,0.01,0.00999531,0.0482866,998,1277286,0.00466067,2.33034,0.00681508,409
cluster_01245.h5,ratio_interp,5,5,1.3,1.30015,1.3,0.349926,0.0015023,0.000525694,False,0,0.01,0.00999515,0.0482863,997,1231398,0.000966569,0.483285,0.0134022,1051
cluster_01246.h5,ratio_interp,5,5,1.3,1.30008,1.3,0.349959,0.00307644,0.00107663,False,0,0.01,0.00999727,0.0482899,1329,2208819,0.000269193,0.134596,0.0100402,522
cluster_01247.h5,ratio_interp,5,5,1.3,1.30007,1.3,0.349965,0.00045879,0.00016056,False,1.68815e-16,0.01,0.00999766,0.0482906,934,1616421,0.00220562,1.10281,0.215609,107
cluster_01248.h5,ratio_interp,5,5,1.3,1.30014,1.3,0.34993,3.61825e-05,1.26613e-05,False,1.33798e-16,0.01,0.00999536,0.0482867,907,1133364,0.00427387,2.13693,0.154782,110
cluster_01249.h5,ratio_interp,5,5,1.3,1.30006,1.3,0.349969,1.23823e-05,4.33341e-06,False,1.95466e-16,0.01,0.00999796,0.0482911,903,1373103,0.0137623,6.88117,0.047992,100
cluster_01250.h5,ratio_extrap,5,15,1.3,1.30023,1.3,0.349885,0.000175527,6.14143e-05,False,0,0.01,0.00999245,0.0482818,1139,2072973,0.00214413,1.07207,0.0130664,519
cluster_01251.h5,ratio_extrap,5,15,1.3,1.30021,1.3,0.349896,0.00216497,0.000757515,False,1.43126e-16,0.01,0.00999316,0.048283,1642,2081130,0.000388213,0.194106,0.00266177,1428
cluster_01252.h5,ratio_extrap,5,15,1.3,1.3003,1.3,0.349849,0.000743649,0.000260165,False,0,0.01,0.00999002,0.0482777,1148,2159865,0.00117852,0.589261,0.00670594,884
cluster_01253.h5,ratio_extrap,5,15,1.3,1.30023,1.3,0.349884,0.000167723,5.86836e-05,False,1.15471e-16,0.01,0.00999237,0.0482816,1170,2029017,0.00324432,1.62216,0.00510672,489
cluster_01254.h5,ratio_extrap,5,15,1.3,1.30037,1.3,0.349816,5.79795e-05,2.02821e-05,False,1.6705e-16,0.01,0.00998785,0.048274,1047,2357541,0.0020282,1.0141,0.175025,110
cluster_01255.h5,ratio_extrap,5,15,1.3,1.30027,1.3,0.349867,0.000419835,0.000146886,False,0,0.01,0.00999121,0.0482797,1151,2653398,0.00210052,1.05026,0.0021986,1690
cluster_01256.h5,ratio_extrap,5,15,1.3,1.3002,1.3,0.349899,3.78267e-05,1.32355e-05,False,0,0.01,0.00999336,0.0482833,1028,2930619,0.00240951,1.20476,0.0821861,112
cluster_01257.h5,ratio_extrap,5,15,1.3,1.30023,1.3,0.349886,0.00176155,0.000616342,False,0,0.01,0.00999251,0.0482819,1109,1490463,0.00042729,0.213645,0.0287557,250
cluster_01258.h5,ratio_extrap,5,15,1.3,1.3002,1.3,0.349898,0.000124743,4.36474e-05,False,0,0.01,0.00999329,0.0482832,972,3746544,0.00184996,0.924978,0.172548,124
cluster_01259.h5,ratio_extrap,5,15,1.3,1.30021,1.3,0.349894,0.00156899,0.000548979,False,0,0.01,0.00999298,0.0482827,1440,1899198,0.000430155,0.215077,0.00405461,1097
